Name,Image,Known For
Rebecca Ferguson,"<img src=""https://image.tmdb.org/t/p/w500/lJloTOheuQSirSLXNA3JHsrMNfH.jpg"" width=""300"">","Known for Dune: Part Two, Mission: Impossible - Fallout, and Mission: Impossible - Dead Reckoning Part One"
Mads Mikkelsen,"<img src=""https://image.tmdb.org/t/p/w500/ntwPvV4GKGGHO3I7LcHMwhXfsw9.jpg"" width=""300"">","Known for Mufasa: The Lion King, Doctor Strange, and Casino Royale"
Jeffrey Dean Morgan,"<img src=""https://image.tmdb.org/t/p/w500/m8bdrmh6ExDCGQ64E83mHg002YV.jpg"" width=""300"">","Known for Fall, Batman v Superman: Dawn of Justice, and Watchmen"
Antonia Gentry,"<img src=""https://image.tmdb.org/t/p/w500/2XgTZZS6gPqUPN6cSXnFNR1OkxO.jpg"" width=""300"">","Known for Time Cut, Ginny & Georgia - The Afterparty, and Prom Dates"
Anna Kendrick,"<img src=""https://image.tmdb.org/t/p/w500/yirl6fEmeXY5xcvJw3nTcCNq9Cw.jpg"" width=""300"">","Known for The Accountant, Twilight, and Another Simple Favor"
Joo Ye-bin,"<img src=""https://image.tmdb.org/t/p/w500/wh5Wnrxs9ay7JUeQJfhCfwwfmPt.jpg"" width=""300"">","Known for My Friend's Wife, Gonjiam: Haunted Asylum, and My Friend's Mom"
Paul Walker,"<img src=""https://image.tmdb.org/t/p/w500/q2PLqKHYCs35HR7QybaNPH3JT96.jpg"" width=""300"">","Known for Fast X, Furious 7, and She's All That"
Michael Rapaport,"<img src=""https://image.tmdb.org/t/p/w500/pgFzi9upiWgKNxqJnNAukEgoeTj.jpg"" width=""300"">","Known for True Romance, Cop Land, and Sully"
Callum Turner,"<img src=""https://image.tmdb.org/t/p/w500/vkZ35K9ge6rWNrGyRdRtS4ONITv.jpg"" width=""300"">","Known for Assassin's Creed, Fantastic Beasts: The Secrets of Dumbledore, and Fantastic Beasts: The Crimes of Grindelwald"
Owen Wilson,"<img src=""https://image.tmdb.org/t/p/w500/op8sGD20k3EQZLR92XtaHoIbW0o.jpg"" width=""300"">","Known for Wonder, Cars, and Cars 2"
Jessica Biel,"<img src=""https://image.tmdb.org/t/p/w500/3txkpzteYNW12vpREFpagSrWe6d.jpg"" width=""300"">","Known for I'll Be Home for Christmas, Total Recall, and The Texas Chainsaw Massacre"
Lewis Pullman,"<img src=""https://image.tmdb.org/t/p/w500/jAo0Rxl9EYVxLnhUlBww5Uxl89v.jpg"" width=""300"">","Known for Thunderbolts*, Top Gun: Maverick, and Avengers: Doomsday"
Rika,"<img src=""https://image.tmdb.org/t/p/w500/vwYqrhcSRVrnra4S0NopnywN8rK.jpg"" width=""300"">","Known for Taming The Younger Sister-in-Law, Sisters Virus, and Villa Maids"
Orlando Bloom,"<img src=""https://image.tmdb.org/t/p/w500/lwQoA0qJTCZ6l2FH6PjmhRQjiaB.jpg"" width=""300"">","Known for Deep Cover, The Lord of the Rings: The Fellowship of the Ring, and Pirates of the Caribbean: The Curse of the Black Pearl"
Julia Roberts,"<img src=""https://image.tmdb.org/t/p/w500/fQacAdIa1WUNChQ6FgEko13eqOA.jpg"" width=""300"">","Known for Wonder, Pretty Woman, and Notting Hill"
Zach Galifianakis,"<img src=""https://image.tmdb.org/t/p/w500/qsDfoUlRnXHUiqZeBPWHzmgmKGX.jpg"" width=""300"">","Known for Lilo & Stitch, The Hangover, and Ron's Gone Wrong"
Adria Arjona,"<img src=""https://image.tmdb.org/t/p/w500/5ODbfZboGeO36Q5GMYqTmiDy0kM.jpg"" width=""300"">","Known for Blink Twice, Hit Man, and Pacific Rim: Uprising"
Charlie Hunnam,"<img src=""https://image.tmdb.org/t/p/w500/ibWWSRGqgxNw9SC8E8hNv1Lvob1.jpg"" width=""300"">","Known for Pacific Rim, The Lost City of Z, and The Gentlemen"
Song Weilong,"<img src=""https://image.tmdb.org/t/p/w500/91EBpDeOvBRQ4Kh6p15LQwWshdR.jpg"" width=""300"">","Known for Just For Meeting You, Catman, and Love The Way You Are"
Dakota Fanning,"<img src=""https://image.tmdb.org/t/p/w500/fXxfYh0NoTiyedRwZPNqBMdz3Eh.jpg"" width=""300"">","Known for Lilo & Stitch 2: Stitch Has a Glitch, Coraline, and The Twilight Saga: Breaking Dawn - Part 2"
Aubrey Plaza,"<img src=""https://image.tmdb.org/t/p/w500/780BVfLoEv5jY4kuLH5vHEZj3oz.jpg"" width=""300"">","Known for My Old Ass, Monsters University, and Operation Fortune: Ruse de Guerre"
Daniel Radcliffe,"<img src=""https://image.tmdb.org/t/p/w500/iPg0J9UzAlPj1fLEJNllpW9IhGe.jpg"" width=""300"">","Known for Harry Potter and the Philosopher's Stone, Harry Potter and the Chamber of Secrets, and Harry Potter and the Goblet of Fire"
Alissa Yagi,"<img src=""https://image.tmdb.org/t/p/w500/uBOkNey4zXSqvdcn7DcWWQ6jss4.jpg"" width=""300"">","Known for We Made a Beautiful Bouquet, Say 'I Love You', and The Sun Stands Still"
Liu Tao,"<img src=""https://image.tmdb.org/t/p/w500/gcaeonDiNJyZ9bLIh23ds3TAzeA.jpg"" width=""300"">","Known for The Foreigner, The Monkey King 3, and High Forces"
Harrison Ford,"<img src=""https://image.tmdb.org/t/p/w500/zVnHagUvXkR2StdOtquEwsiwSVt.jpg"" width=""300"">","Known for Captain America: Brave New World, Star Wars, and Blade Runner 2049"
Yoo Ji-hyun,"<img src=""https://image.tmdb.org/t/p/w500/8qBnfSVKcf742nRQk9NCgadqNPc.jpg"" width=""300"">","Known for Aunt, Dangerous Younger Cousin, and Invited Delivery Man 2"
Ji Chang-wook,"<img src=""https://image.tmdb.org/t/p/w500/afgwHQJ3BP6ygM2ZUUZO60U84q0.jpg"" width=""300"">","Known for Fabricated City, Hard Hit, and Death Bell 2"
Yang Mi,"<img src=""https://image.tmdb.org/t/p/w500/6RezRxlQBsYmlotybR3q7riSrvV.jpg"" width=""300"">","Known for Brotherhood of Blades II: The Infernal Battlefield, A Writer's Odyssey, and King of Beggars"
Jennifer Aniston,"<img src=""https://image.tmdb.org/t/p/w500/nWcgNexPJxOciKnWyLj0z6XlrA4.jpg"" width=""300"">","Known for Storks, He's Just Not That Into You, and We're the Millers"
Michael B. Jordan,"<img src=""https://image.tmdb.org/t/p/w500/hz9AOUWZ2zzS0dpPJ1yQv2grA35.jpg"" width=""300"">","Known for Sinners, Black Panther, and Black Panther: Wakanda Forever"
Ali Larter,"<img src=""https://image.tmdb.org/t/p/w500/2HOlaSd30yBCrr366GfPG2PF6D8.jpg"" width=""300"">","Known for Final Destination, Final Destination 2, and Legally Blonde"
Mila Kunis,"<img src=""https://image.tmdb.org/t/p/w500/cJAHQWX9hVadDFx5WTSBIW0VjvP.jpg"" width=""300"">","Known for Ted, Friends with Benefits, and Black Swan"
Salma Hayek Pinault,"<img src=""https://image.tmdb.org/t/p/w500/1qfYF7NGRObmeKR7IVXUFVIC0CN.jpg"" width=""300"">","Known for Puss in Boots: The Last Wish, Grown Ups, and Grown Ups 2"
Shia LaBeouf,"<img src=""https://image.tmdb.org/t/p/w500/ljlpaXEManszxIcshYQoqo4au03.jpg"" width=""300"">","Known for Fury, Constantine, and Nymphomaniac: Vol. II"
Chen Zheyuan,"<img src=""https://image.tmdb.org/t/p/w500/8RuceMebJLyAnVBiQwBklghTlUu.jpg"" width=""300"">","Known for Detective Chinatown 3, Monster Island, and Miss Puff"
Jack Black,"<img src=""https://image.tmdb.org/t/p/w500/rtCx0fiYxJVhzXXdwZE2XRTfIKE.jpg"" width=""300"">","Known for A Minecraft Movie, The Super Mario Bros. Movie, and Kung Fu Panda 4"
Lucy Liu,"<img src=""https://image.tmdb.org/t/p/w500/9nbtjqsx3De7hO2XDtrBQ7M9VCH.jpg"" width=""300"">","Known for Red One, Presence, and Kung Fu Panda"
Cameron Diaz,"<img src=""https://image.tmdb.org/t/p/w500/d4f4cQ9EiYuvNMjT1IB2h06KoRx.jpg"" width=""300"">","Known for Shrek, Shrek 2, and Back in Action"
Bo Derek,"<img src=""https://image.tmdb.org/t/p/w500/mmCo56529hEkYZ2KV9ilWS8HXRX.jpg"" width=""300"">","Known for 10, Orca, and Tommy Boy"
Liu Haocun,"<img src=""https://image.tmdb.org/t/p/w500/c2X9OnMcpibWZhuFFZtTkmWzAmH.jpg"" width=""300"">","Known for Just For Meeting You, Ride On, and Cliff Walkers"
Al Pacino,"<img src=""https://image.tmdb.org/t/p/w500/2dGBb1fOcNdZjtQToVPFxXjm4ke.jpg"" width=""300"">","Known for The Godfather, Scarface, and The Godfather Part II"
Teyana Taylor,"<img src=""https://image.tmdb.org/t/p/w500/wVHbluUvjKl0NucSeuAhAJAr2oc.jpg"" width=""300"">","Known for STRAW, Coming 2 America, and One Battle After Another"
Matthew Goode,"<img src=""https://image.tmdb.org/t/p/w500/3XaKKl0bKswTWbJ0Lh9nZ4UdAQo.jpg"" width=""300"">","Known for The King's Man, Abigail, and Watchmen"
Emily Blunt,"<img src=""https://image.tmdb.org/t/p/w500/zpJ7pupuNF3W0zTxm6yioGIoxbd.jpg"" width=""300"">","Known for Oppenheimer, The Huntsman: Winter's War, and A Quiet Place"
Anthony Mackie,"<img src=""https://image.tmdb.org/t/p/w500/9r3bvl2pBZwZMN3KUg43Sp8c7ZU.jpg"" width=""300"">","Known for Captain America: Brave New World, Avengers: Infinity War, and Avengers: Endgame"
Josh Hutcherson,"<img src=""https://image.tmdb.org/t/p/w500/npowygg8rH7uJ4v7rAoDMsHBhNq.jpg"" width=""300"">","Known for The Beekeeper, Five Nights at Freddy's, and The Hunger Games: Mockingjay - Part 1"
Chris Pratt,"<img src=""https://image.tmdb.org/t/p/w500/cRH6HPAQ98PlOwwEvhYO4CM9lwu.jpg"" width=""300"">","Known for Jurassic World: Fallen Kingdom, Guardians of the Galaxy Vol. 2, and The Super Mario Bros. Movie"
Kareena Kapoor Khan,"<img src=""https://image.tmdb.org/t/p/w500/pJZJJ93NwJq3kb3RWtaZBYVga1x.jpg"" width=""300"">","Known for 3 Idiots, Crew, and Om Shanti Om"
Chloë Grace Moretz,"<img src=""https://image.tmdb.org/t/p/w500/yjvE3aovyTvebAOalNaI3t6KkjQ.jpg"" width=""300"">","Known for The Equalizer, (500) Days of Summer, and Kick-Ass"
Pierce Brosnan,"<img src=""https://image.tmdb.org/t/p/w500/dzXVwwJLPwiZeXOnf7YxorqVEEM.jpg"" width=""300"">","Known for Black Bag, Black Adam, and The King of Kings"
Austin Butler,"<img src=""https://image.tmdb.org/t/p/w500/atdAs4pFGjUQ4m2W8kJYly7N6cC.jpg"" width=""300"">","Known for Dune: Part Two, Once Upon a Time... in Hollywood, and Elvis"
Aaron Pierre,"<img src=""https://image.tmdb.org/t/p/w500/z2cMMZyWzv5ztT6pFdAAjB3u7CQ.jpg"" width=""300"">","Known for Mufasa: The Lion King, Rebel Ridge, and Old"
Rosamund Pike,"<img src=""https://image.tmdb.org/t/p/w500/8ObNklHDi2hjdz0ayzJFB9jtqzm.jpg"" width=""300"">","Known for Gone Girl, Pride & Prejudice, and Saltburn"
Finn Wolfhard,"<img src=""https://image.tmdb.org/t/p/w500/5OVmquAk0W5BIsRlVKslEP497JD.jpg"" width=""300"">","Known for The Legend of Ochi, It, and Ghostbusters: Afterlife"
Jacob Elordi,"<img src=""https://image.tmdb.org/t/p/w500/khfLyxY9gsKiLFoz2zj0h3uhDFJ.jpg"" width=""300"">","Known for Deep Water, Saltburn, and The Kissing Booth"
Afra Saraçoğlu,"<img src=""https://image.tmdb.org/t/p/w500/m4TXmHtDjtdFTRJPYVberQM1H6T.jpg"" width=""300"">","Known for Bad Boy, Second Chance, and Good Game: The Beginning"
Adam Sandler,"<img src=""https://image.tmdb.org/t/p/w500/gLkLCsQdwDDPabRhKPB25nGtKwS.jpg"" width=""300"">","Known for Grown Ups, Grown Ups 2, and Hotel Transylvania"
Kevin Bacon,"<img src=""https://image.tmdb.org/t/p/w500/rjX2Oz3tCZMfSwOoIAyEhdtXnTE.jpg"" width=""300"">","Known for Friday the 13th, Balto, and Crazy, Stupid, Love."
Ian Somerhalder,"<img src=""https://image.tmdb.org/t/p/w500/gq8YFzAOaxNVtSUFKccpxp2YjRS.jpg"" width=""300"">","Known for Wake, The Tournament, and Pulse"
Rachel Weisz,"<img src=""https://image.tmdb.org/t/p/w500/9tfHL5tholha1YF6bSKt422ETPM.jpg"" width=""300"">","Known for Black Widow, The Mummy, and Constantine"
Bai Lu,"<img src=""https://image.tmdb.org/t/p/w500/aRcUVDRO2wewQe0NXJ0RfzSgvUa.jpg"" width=""300"">","Known for One Heart to the Future · China Network Audiovisual Annual Ceremony, 2023微博之夜, and Set Sail 2024 - China Central Radio and Television Station New Year's Eve Party"
Nico Parker,"<img src=""https://image.tmdb.org/t/p/w500/gt0NJClVSCPCEfcPgcLj3f85uLa.jpg"" width=""300"">","Known for How to Train Your Dragon, How to Train Your Dragon 2, and Bridget Jones: Mad About the Boy"
Lee Jong-suk,"<img src=""https://image.tmdb.org/t/p/w500/eW73DbmKQrqb6xDC52oMbVehw6G.jpg"" width=""300"">","Known for The Witch: Part 2. The Other One, V.I.P., and Decibel"
Noah Centineo,"<img src=""https://image.tmdb.org/t/p/w500/kXLuzSWRqM2P45uNcgb0v3H8dnE.jpg"" width=""300"">","Known for Warfare, Charlie's Angels, and Black Adam"
Jay Harrington,"<img src=""https://image.tmdb.org/t/p/w500/jsCjf0L0K97dPvSR9yJhoM8pN84.jpg"" width=""300"">","Known for American Reunion, Whatever It Takes, and Anywhere but Here"
Halle Berry,"<img src=""https://image.tmdb.org/t/p/w500/9aLI0LSi7cbieyiskOdsBaneKmp.jpg"" width=""300"">","Known for John Wick: Chapter 3 - Parabellum, Kingsman: The Golden Circle, and Wick Is Pain"
Eddie Murphy,"<img src=""https://image.tmdb.org/t/p/w500/qgjMfefsKwSYsyCaIX46uyOXIpy.jpg"" width=""300"">","Known for Shrek, Shrek 2, and Shrek Forever After"
Vijay,"<img src=""https://image.tmdb.org/t/p/w500/zbQ1sDRVRHkroWwvrnqYKMerl66.jpg"" width=""300"">","Known for Mersal, Leo, and Varisu"
Çağatay Ulusoy,"<img src=""https://image.tmdb.org/t/p/w500/1G3wfYEiKBv1nNAKfx7RYhuOsPW.jpg"" width=""300"">","Known for Paper Lives, Delibal, and A True Gentleman"
Millie Bobby Brown,"<img src=""https://image.tmdb.org/t/p/w500/xbcHTGvYAhJSVT9hwAS54055aHc.jpg"" width=""300"">","Known for The Electric State, Damsel, and Godzilla: King of the Monsters"
Scott Adkins,"<img src=""https://image.tmdb.org/t/p/w500/9NRr2a1riIn5CWn5McZLJlk4vxR.jpg"" width=""300"">","Known for John Wick: Chapter 4, Diablo, and Day of Reckoning"
Lee Min-ho,"<img src=""https://image.tmdb.org/t/p/w500/iqopuz6cKuRZRUPZQrj7lFZcWWb.jpg"" width=""300"">","Known for Omniscient Reader: The Prophet, Gangnam Blues, and Bounty Hunters"
Winona Ryder,"<img src=""https://image.tmdb.org/t/p/w500/dlffgYbqr1BllWacVLhAFw23nLl.jpg"" width=""300"">","Known for Beetlejuice, Beetlejuice Beetlejuice, and Homefront"
Hitoe Ootake,"<img src=""https://image.tmdb.org/t/p/w500/44pPj6GmPInI9q6BAKMIygp9yN6.jpg"" width=""300"">","Known for Female Teacher's Diary Forbidden Sex, Confession Note - That SEX I Got Wet!, and Musume Bugyo On-na Ro Hisho"
Wentworth Miller,"<img src=""https://image.tmdb.org/t/p/w500/js09M98qo6rEyyIlTbRMI6XiZJH.jpg"" width=""300"">","Known for Prison Break: The Final Break, Underworld, and The Loft"
Margaret Qualley,"<img src=""https://image.tmdb.org/t/p/w500/arPyevdBetDiGRGuMVzvmpfej5e.jpg"" width=""300"">","Known for The Substance, Poor Things, and Once Upon a Time... in Hollywood"
Apple Dy,"<img src=""https://image.tmdb.org/t/p/w500/8Q3jgBwZL6fl4wDUcfbGwfu4nZZ.jpg"" width=""300"">","Known for Tuhog, Kiskisan, and Sorority"
Emma Stone,"<img src=""https://image.tmdb.org/t/p/w500/cZ8a3QvAnj2cgcgVL6g4XaqPzpL.jpg"" width=""300"">","Known for La La Land, Cruella, and The Amazing Spider-Man"
Jensen Ackles,"<img src=""https://image.tmdb.org/t/p/w500/vFegIjLLQGwPn6af4SE9LAbnGNE.jpg"" width=""300"">","Known for Justice League: Crisis on Infinite Earths Part One, Justice League: Crisis on Infinite Earths Part Three, and Justice League: Crisis on Infinite Earths Part Two"
Christian Slater,"<img src=""https://image.tmdb.org/t/p/w500/6ww3uweEEXMlvtNjTlgBHxLErPF.jpg"" width=""300"">","Known for True Romance, Blink Twice, and Nymphomaniac: Vol. II"
Ajay Devgn,"<img src=""https://image.tmdb.org/t/p/w500/83jDgHAPf4hPCFoF1OTF08xkhd6.jpg"" width=""300"">","Known for RRR, Chhaava, and Raid 2"
Olga Kurylenko,"<img src=""https://image.tmdb.org/t/p/w500/ei6eYUhQFw2AaV6U5fyPptBaPF0.jpg"" width=""300"">","Known for Thunderbolts*, Black Widow, and Extraction 2"
Brie Larson,"<img src=""https://image.tmdb.org/t/p/w500/xSGvMwNNJcEQvVcjiIUTyxyMfkZ.jpg"" width=""300"">","Known for Fast X, Trainwreck, and Avengers: Endgame"
Emma Thompson,"<img src=""https://image.tmdb.org/t/p/w500/xr8Ki3CIqweWWqS5q0kUYdiK6oQ.jpg"" width=""300"">","Known for Harry Potter and the Prisoner of Azkaban, Harry Potter and the Order of the Phoenix, and Beauty and the Beast"
Donnie Yen,"<img src=""https://image.tmdb.org/t/p/w500/hTlhrrZMj8hZVvD17j4KyAFWBHc.jpg"" width=""300"">","Known for John Wick: Chapter 4, Wick Is Pain, and Rogue One: A Star Wars Story"
Drew Barrymore,"<img src=""https://image.tmdb.org/t/p/w500/kv9sX8bzpBPWNsWwRpxdcW35FWo.jpg"" width=""300"">","Known for Smile 2, Donnie Darko, and Scream"
Amy Adams,"<img src=""https://image.tmdb.org/t/p/w500/ify7UiQkVMQ0uCUX0F0AuzLK1vS.jpg"" width=""300"">","Known for Arrival, Justice League, and Batman v Superman: Dawn of Justice"
Richard Gere,"<img src=""https://image.tmdb.org/t/p/w500/dVlutWZ75StO0KWGj26sLXe0bjH.jpg"" width=""300"">","Known for Pretty Woman, Unfaithful, and Primal Fear"
Amber Heard,"<img src=""https://image.tmdb.org/t/p/w500/4MvTmHeIR715eCaQKvNFzyE1xU.jpg"" width=""300"">","Known for Justice League, Aquaman and the Lost Kingdom, and Zack Snyder's Justice League"
Benedict Cumberbatch,"<img src=""https://image.tmdb.org/t/p/w500/fBEucxECxGLKVHBznO0qHtCGiMO.jpg"" width=""300"">","Known for Thor: Ragnarok, Avengers: Infinity War, and Doctor Strange in the Multiverse of Madness"
Özge Törer,"<img src=""https://image.tmdb.org/t/p/w500/mCs3jsb8csJm6VEzhVwJh4DO7mU.jpg"" width=""300"">",Actor/Actress
Robert De Niro,"<img src=""https://image.tmdb.org/t/p/w500/cT8htcckIuyI1Lqwt1CvD02ynTh.jpg"" width=""300"">","Known for Tin Soldier, Joker, and The Godfather Part II"
Mary Elizabeth Winstead,"<img src=""https://image.tmdb.org/t/p/w500/i1RjhPH8XypvR0W7zKCLrFxph4D.jpg"" width=""300"">","Known for Final Destination 3, 10 Cloverfield Lane, and Rich Flu"
Steve Carell,"<img src=""https://image.tmdb.org/t/p/w500/l2eaAN2w21QZBKxOLbhxHOquQOk.jpg"" width=""300"">","Known for Despicable Me 4, Mountainhead, and IF"
Pom Klementieff,"<img src=""https://image.tmdb.org/t/p/w500/hfUKAI2kXTMMWjno0i4sLPJud5N.jpg"" width=""300"">","Known for Mission: Impossible - The Final Reckoning, Guardians of the Galaxy Vol. 2, and Avengers: Infinity War"
Demi Moore,"<img src=""https://image.tmdb.org/t/p/w500/wApParZYBDi4yxekjfxjKEifJYh.jpg"" width=""300"">","Known for The Substance, G.I. Jane, and Margin Call"
Drew Starkey,"<img src=""https://image.tmdb.org/t/p/w500/dgySE1Ph8tfUf9wa0wm5AaYXa9f.jpg"" width=""300"">","Known for Queer, Hellraiser, and Just Mercy"
Alan Ritchson,"<img src=""https://image.tmdb.org/t/p/w500/92YNEEpCyugkTzPprJwZpvVtvuK.jpg"" width=""300"">","Known for Fast X, The Ministry of Ungentlemanly Warfare, and Teenage Mutant Ninja Turtles"
Maisie Williams,"<img src=""https://image.tmdb.org/t/p/w500/5RjD4dDpRDAhalFtvcUj7zdLWYB.jpg"" width=""300"">","Known for The New Mutants, The Luckiest Man in America, and Then Came You"
Bill Skarsgård,"<img src=""https://image.tmdb.org/t/p/w500/xBXLx1m0uzhXIbY3wN8lmPGeUHl.jpg"" width=""300"">","Known for John Wick: Chapter 4, Locked, and Deadpool 2"
Gina Gershon,"<img src=""https://image.tmdb.org/t/p/w500/jgry61wtl058ft9O1Rigp3qADyf.jpg"" width=""300"">","Known for Borderlands, Pretty in Pink, and Thanksgiving"
Colin Farrell,"<img src=""https://image.tmdb.org/t/p/w500/lZ3dU4uFEV4BccAEvjJUBIY2OaB.jpg"" width=""300"">","Known for The Batman, Fantastic Beasts and Where to Find Them, and Minority Report"
Sadie Sink,"<img src=""https://image.tmdb.org/t/p/w500/vo5x9GRs2vT47LNb1HZvKUEsk8C.jpg"" width=""300"">","Known for The Whale, Fear Street: 1978, and Fear Street: 1666"
Morena Baccarin,"<img src=""https://image.tmdb.org/t/p/w500/kBSKKaOtsqIzZPhtEeHfCBmhWl9.jpg"" width=""300"">","Known for Deadpool & Wolverine, Deadpool, and Deadpool 2"
Jeremy Renner,"<img src=""https://image.tmdb.org/t/p/w500/yB84D1neTYXfWBaV0QOE9RF2VCu.jpg"" width=""300"">","Known for The Avengers, Arrival, and Avengers: Endgame"
Zac Efron,"<img src=""https://image.tmdb.org/t/p/w500/pdWXP7XG6qqOoxoLid1DWYwmaMY.jpg"" width=""300"">","Known for Baywatch, The Greatest Beer Run Ever, and The Lorax"
Hugh Jackman,"<img src=""https://image.tmdb.org/t/p/w500/4Xujtewxqt6aU0Y81tsS9gkjizk.jpg"" width=""300"">","Known for Deadpool & Wolverine, Logan, and Prisoners"
Idris Elba,"<img src=""https://image.tmdb.org/t/p/w500/be1bVF7qGX91a6c5WeRPs5pKXln.jpg"" width=""300"">","Known for Sonic the Hedgehog 3, Thor: Ragnarok, and Avengers: Infinity War"
Liam Cunningham,"<img src=""https://image.tmdb.org/t/p/w500/ljmFT9zYqh4k2bmEcNU6rxoE7fW.jpg"" width=""300"">","Known for Clash of the Titans, The Last Voyage of the Demeter, and The Mummy: Tomb of the Dragon Emperor"
Quentin Tarantino,"<img src=""https://image.tmdb.org/t/p/w500/1gjcpAa99FAOWGnrUvHEXXsRs7o.jpg"" width=""300"">","Known for Pulp Fiction, Inglourious Basterds, and Django Unchained"
Glen Powell,"<img src=""https://image.tmdb.org/t/p/w500/lRbbndkwOXyvep9Y7kHiwbh9Ji5.jpg"" width=""300"">","Known for Top Gun: Maverick, The Dark Knight Rises, and Hidden Figures"
Teo Briones,"<img src=""https://image.tmdb.org/t/p/w500/cyykbm4Xht2Pi7brr88FcmS1LPb.jpg"" width=""300"">","Known for Final Destination Bloodlines, Wind River, and Five Nights at Freddy's 2"
Park Bo-gum,"<img src=""https://image.tmdb.org/t/p/w500/lITY3WsJOFjlHkP1bJ3PwYhuNnD.jpg"" width=""300"">","Known for Wonderland, Seobok, and Blind"
Emma Roberts,"<img src=""https://image.tmdb.org/t/p/w500/1vDYB1rQnELrrMn93J7xbkcnloU.jpg"" width=""300"">","Known for Madame Web, We're the Millers, and The Hunt"
Nicole Wallace,"<img src=""https://image.tmdb.org/t/p/w500/xlvq6OYCN6yQef4fpJQtwVyQxqr.jpg"" width=""300"">","Known for My Fault, Your Fault, and Culpa nuestra"
Oceana Matsumoto,"<img src=""https://image.tmdb.org/t/p/w500/ij2XAZgn16J7iCCKIheA0d4Jk6k.jpg"" width=""300"">",Known for One True Loves
Helen Mirren,"<img src=""https://image.tmdb.org/t/p/w500/1reKRrsdsHXJaRVHVyOEg4oPTcZ.jpg"" width=""300"">","Known for Barbie, Fast & Furious Presents: Hobbs & Shaw, and Fast X"
Nathan Fillion,"<img src=""https://image.tmdb.org/t/p/w500/aW6vCxkUZtwb6iH2Wf88Uq0XNVv.jpg"" width=""300"">","Known for Deadpool & Wolverine, Superman, and Guardians of the Galaxy Vol. 3"
Bill Pullman,"<img src=""https://image.tmdb.org/t/p/w500/AlLhgmcX5zh3frPT82OSPY9gqXO.jpg"" width=""300"">","Known for Spaceballs, The Equalizer, and Independence Day"
Jessica Alba,"<img src=""https://image.tmdb.org/t/p/w500/jCImuXo4TqdWeIs4Hc2tO0U28LV.jpg"" width=""300"">","Known for Fantastic Four: Rise of the Silver Surfer, Fantastic Four, and Sin City"
Shiena Yu,"<img src=""https://image.tmdb.org/t/p/w500/y0BzaRTsDNVZu92u8wtp2r8gTEs.jpg"" width=""300"">","Known for Arouse, Sugar Baby, and Wanted: Girlfriend"
J.K. Simmons,"<img src=""https://image.tmdb.org/t/p/w500/ScmKoJ9eiSUOthAt1PDNLi8Fkw.jpg"" width=""300"">","Known for The Accountant², The Accountant, and Spider-Man: Across the Spider-Verse"
Edward Norton,"<img src=""https://image.tmdb.org/t/p/w500/8nytsqL59SFJTVYVrN72k6qkGgJ.jpg"" width=""300"">","Known for Fight Club, A Complete Unknown, and Kingdom of Heaven"
Kerry Washington,"<img src=""https://image.tmdb.org/t/p/w500/u6zfZGHabfSGIHDwbO7aI5Qg37L.jpg"" width=""300"">","Known for Shadow Force, Django Unchained, and Cars 3"
Kate Hudson,"<img src=""https://image.tmdb.org/t/p/w500/s79lH1QzEg2fkXULKBxRmU9aNr8.jpg"" width=""300"">","Known for Kung Fu Panda 3, How to Lose a Guy in 10 Days, and Home Alone 2: Lost in New York"
James Marsden,"<img src=""https://image.tmdb.org/t/p/w500/mk142GG0saiSXALY6V4wWcmPROW.jpg"" width=""300"">","Known for Sonic the Hedgehog 3, The Notebook, and Sonic the Hedgehog 2"
Rachel Brosnahan,"<img src=""https://image.tmdb.org/t/p/w500/1f9NK43gWrXN2uMmYMlennB7jCC.jpg"" width=""300"">","Known for The Amateur, Superman, and Spies in Disguise"
Akira Ishida,"<img src=""https://image.tmdb.org/t/p/w500/jnW2Gn2NlR2uwOCeyOuzypnTmkH.jpg"" width=""300"">","Known for Batman Ninja vs. Yakuza League, Demon Slayer -Kimetsu no Yaiba- The Movie: Mugen Train, and Neon Genesis Evangelion: The End of Evangelion"
Cole Hauser,"<img src=""https://image.tmdb.org/t/p/w500/1SNoIDILoXtAUJu4f7nDCPVQH5j.jpg"" width=""300"">","Known for Good Will Hunting, Tears of the Sun, and Olympus Has Fallen"
Jim Carrey,"<img src=""https://image.tmdb.org/t/p/w500/u0AqTz6Y7GHPCHINS01P7gPvDSb.jpg"" width=""300"">","Known for Sonic the Hedgehog 3, Sonic the Hedgehog 2, and The Truman Show"
Oscar Isaac,"<img src=""https://image.tmdb.org/t/p/w500/dW5U5yrIIPmMjRThR9KT2xH6nTz.jpg"" width=""300"">","Known for Spider-Man: Across the Spider-Verse, Star Wars: The Last Jedi, and Dune"
Cobie Smulders,"<img src=""https://image.tmdb.org/t/p/w500/1b0mYokcGsfFRge4bjXlS5ihtek.jpg"" width=""300"">","Known for Avengers: Infinity War, The Avengers, and Spider-Man: Far From Home"
Bella Ramsey,"<img src=""https://image.tmdb.org/t/p/w500/wx78DnBixam4eXlwVVZs16fWP98.jpg"" width=""300"">","Known for Chicken Run: Dawn of the Nugget, Making of The Last of Us, and Sunny Dancer"
