Name,Image,Known For
Theo James,"<img src=""https://image.tmdb.org/t/p/w500/lSC4cMhcQeCjPFkK6qCjSGDSeR3.jpg"" width=""300"">","Known for The Monkey, Divergent, and Insurgent"
Leonardo DiCaprio,"<img src=""https://image.tmdb.org/t/p/w500/wo2hJpn04vbtmh0B9utCFdsQhxM.jpg"" width=""300"">","Known for Titanic, Inception, and The Wolf of Wall Street"
Brad Pitt,"<img src=""https://image.tmdb.org/t/p/w500/ajNaPmXVVMJFg9GWmu6MJzTaXdV.jpg"" width=""300"">","Known for F1 The Movie, Deadpool 2, and Fight Club"
Megan Fox,"<img src=""https://image.tmdb.org/t/p/w500/zQp2YM0zbC27Ws97LNbyicysk8p.jpg"" width=""300"">","Known for Subservience, Expend4bles, and Teenage Mutant Ninja Turtles"
Hailee Steinfeld,"<img src=""https://image.tmdb.org/t/p/w500/tb7zwVSmI2CDLU1Tc39c4ECO3jm.jpg"" width=""300"">","Known for Sinners, Spider-Man: Across the Spider-Verse, and Charlie's Angels"
Keke Palmer,"<img src=""https://image.tmdb.org/t/p/w500/f5i3WzdMt02mlfm9I9LHKRJtZ4J.jpg"" width=""300"">","Known for Ice Age: Continental Drift, Nope, and Ice Age: Collision Course"
Nat Wolff,"<img src=""https://image.tmdb.org/t/p/w500/g9noCweddwSb3VBSRpX3vo7TbuP.jpg"" width=""300"">","Known for The Intern, Death Note, and The Fault in Our Stars"
Jackie Chan,"<img src=""https://image.tmdb.org/t/p/w500/nraZoTzwJQPHspAVsKfgl3RXKKa.jpg"" width=""300"">","Known for Karate Kid: Legends, Panda Plan, and The Karate Kid"
Brianne Howey,"<img src=""https://image.tmdb.org/t/p/w500/5TMOHWjWoK5xhzIgQkIGzpQ3cM7.jpg"" width=""300"">","Known for Viral, Horrible Bosses 2, and Kinda Pregnant"
Gal Gadot,"<img src=""https://image.tmdb.org/t/p/w500/qCJB1ACi5VjtY4ypXuv3hjAvbSu.jpg"" width=""300"">","Known for Snow White, The Flash, and Fast X"
Mark Harmon,"<img src=""https://image.tmdb.org/t/p/w500/7M6M2Fbb5dZxY1wBhS5AYBw98PX.jpg"" width=""300"">","Known for Freakier Friday, Freaky Friday, and Natural Born Killers"
Margot Robbie,"<img src=""https://image.tmdb.org/t/p/w500/euDPyqLnuwaWMHajcU3oZ9uZezR.jpg"" width=""300"">","Known for Barbie, The Wolf of Wall Street, and The Suicide Squad"
Anne Hathaway,"<img src=""https://image.tmdb.org/t/p/w500/s6tflSD20MGz04ZR2R1lZvhmC4Y.jpg"" width=""300"">","Known for Interstellar, The Idea of You, and The Dark Knight Rises"
Elizabeth Olsen,"<img src=""https://image.tmdb.org/t/p/w500/wIU675y4dofIDVuhaNWPizJNtep.jpg"" width=""300"">","Known for Avengers: Infinity War, Doctor Strange in the Multiverse of Madness, and Avengers: Endgame"
Julie Ann Emery,"<img src=""https://image.tmdb.org/t/p/w500/A29Nmt41IREXVNMk02cCxN9Ba6i.jpg"" width=""300"">","Known for Hitch, Gifted, and Movie 43"
Park Gyu-young,"<img src=""https://image.tmdb.org/t/p/w500/aqfLyqMoNzVwjhGInt6gX6fkIxs.jpg"" width=""300"">","Known for Squid Game: Making Season 2, Love+Sling, and Wretches"
Timothée Chalamet,"<img src=""https://image.tmdb.org/t/p/w500/BE2sdjpgsa2rNTFa66f7upkaOP.jpg"" width=""300"">","Known for Dune: Part Two, Interstellar, and Dune"
